date,open,high,low,close
2021-12-14,4642.99,4660.47,4606.52,4634.09
2021-12-15,4636.46,4712.6,4611.22,4709.85
2021-12-16,4719.13,4730.74,4651.89,4668.67
2021-12-17,4652.5,4666.7,4600.22,4620.64
2021-12-20,4587.9,4587.9,4531.1,4568.02
2021-12-21,4594.96,4650.68,4583.16,4649.23
2021-12-22,4650.36,4697.67,4645.53,4696.56
2021-12-23,4703.96,4740.74,4703.96,4725.79
2021-12-27,4733.99,4791.49,4733.99,4791.19
2021-12-28,4795.49,4807.02,4780.04,4786.35
2021-12-29,4788.64,4804.06,4778.08,4793.06
2021-12-30,4794.23,4808.93,4775.33,4778.73
2021-12-31,4775.21,4786.83,4765.85,4766.18
2022-01-03,4778.14,4796.64,4758.17,4796.56
2022-01-04,4804.51,4818.62,4774.27,4793.54
2022-01-05,4787.99,4797.7,4699.44,4700.58
2022-01-06,4693.39,4725.01,4671.26,4696.05
2022-01-07,4697.66,4707.95,4663,4677.03
2022-01-10,4655.34,4673.02,4582.37,4670.29
2022-01-11,4669.14,4713.54,4638.27,4713.07
2022-01-12,4728.59,4748.83,4706.71,4726.35
2022-01-13,4733.56,4744.13,4651.54,4659.03
2022-01-14,4637.99,4665.13,4614.75,4662.85
2022-01-18,4632.24,4632.24,4568.7,4577.11
2022-01-19,4588.03,4611.5,4530.73,4532.76
2022-01-20,4547.35,4602.11,4477.99,4482.73
2022-01-21,4464.59,4494.52,4395.34,4397.94
2022-01-24,4326.02,4417.35,4222.85,4410.13
2022-01-25,4366.64,4411.01,4287.11,4356.45
2022-01-26,4408.43,4453.23,4309.4,4349.93
2022-01-27,4380.58,4427.69,4309.5,4326.51
2022-01-28,4336.19,4432.72,4292.73,4431.85
2022-01-31,4431.79,4516.89,4414.02,4515.55
2022-02-01,4519.57,4550.49,4483.53,4546.54
2022-02-02,4566.39,4595.31,4546.08,4589.38
2022-02-03,4535.41,4542.88,4473.6,4477.44
2022-02-04,4482.79,4539.66,4451.5,4500.53
2022-02-07,4505.75,4521.86,4471.47,4483.87
2022-02-08,4480.02,4531.32,4465.4,4521.54
2022-02-09,4547,4590.03,4547,4587.18
2022-02-10,4553.24,4588.92,4484.94,4504.08
2022-02-11,4506.27,4525.6,4401.67,4418.64
2022-02-14,4412.61,4426.22,4364.84,4401.67
2022-02-15,4429.28,4472.77,4429.28,4471.07
2022-02-16,4455.75,4489.55,4429.68,4475.01
2022-02-17,4456.06,4456.06,4373.81,4380.26
2022-02-18,4384.57,4394.42,4327.22,4348.87
2022-02-22,4332.74,4362.12,4267.11,4304.76
2022-02-23,4324.93,4341.51,4221.51,4225.5
2022-02-24,4119.86,4294.73,4116.4,4288.7
2022-02-25,4298.38,4385.07,4287.38,4384.65
2022-02-28,4354.17,4388.84,4315.12,4373.94
2022-03-01,4363.14,4377.37,4279.54,4306.26
2022-03-02,4322.56,4401.48,4322.56,4386.54
2022-03-03,4401.31,4416.78,4345.56,4363.49
2022-03-04,4342.12,4342.12,4284.98,4328.87
2022-03-07,4327.01,4327.01,4200.03,4201.09
2022-03-08,4202.66,4276.94,4160.17,4170.7
2022-03-09,4223.1,4299.4,4223.1,4277.88
2022-03-10,4252.55,4268.28,4209.8,4259.52
2022-03-11,4279.5,4291.01,4200.52,4204.31
2022-03-14,4202.75,4247.57,4161.72,4173.11
2022-03-15,4188.82,4271.05,4187.9,4262.45
2022-03-16,4288.14,4358.9,4251.99,4357.86
2022-03-17,4345.11,4411.69,4335.65,4411.67
2022-03-18,4407.34,4465.4,4390.57,4463.12
2022-03-21,4462.4,4481.75,4424.3,4461.18
2022-03-22,4469.1,4522,4469.1,4511.61
2022-03-23,4493.1,4501.07,4455.81,4456.24
2022-03-24,4469.98,4520.58,4465.17,4520.16
2022-03-25,4522.91,4546.03,4501.07,4543.06
2022-03-28,4541.09,4575.65,4517.69,4575.52
2022-03-29,4602.86,4637.3,4589.66,4631.6
2022-03-30,4624.2,4627.77,4581.32,4602.45
2022-03-31,4599.02,4603.07,4530.41,4530.41
2022-04-01,4540.32,4548.7,4507.57,4545.86
2022-04-04,4547.97,4583.5,4539.21,4582.64
2022-04-05,4572.45,4593.45,4514.17,4525.12
2022-04-06,4494.17,4503.94,4450.04,4481.15
2022-04-07,4474.65,4521.16,4450.3,4500.21
2022-04-08,4494.15,4520.41,4474.76,4488.28
2022-04-11,4462.64,4463.15,4408.38,4412.53
2022-04-12,4437.59,4471,4381.34,4397.45
2022-04-13,4394.3,4453.92,4392.7,4446.59
2022-04-14,4449.12,4460.46,4390.89,4392.59
2022-04-18,4385.63,4410.31,4370.3,4391.69
2022-04-19,4390.63,4471.03,4390.63,4462.21
2022-04-20,4472.26,4488.29,4448.76,4459.45
2022-04-21,4489.17,4512.94,4384.47,4393.66
2022-04-22,4385.83,4385.83,4267.62,4271.78
2022-04-25,4255.34,4298.02,4200.82,4296.12
2022-04-26,4278.14,4278.14,4175.15,4175.2
2022-04-27,4186.52,4240.71,4162.9,4183.96
2022-04-28,4222.58,4308.45,4188.63,4287.5
2022-04-29,4253.75,4269.68,4124.28,4131.93
2022-05-02,4130.61,4169.81,4062.51,4155.38
2022-05-03,4159.78,4200.1,4147.08,4175.48
2022-05-04,4181.18,4307.66,4148.91,4300.17
2022-05-05,4270.43,4270.43,4106.01,4146.87
2022-05-06,4128.17,4157.69,4068.92,4123.34
2022-05-09,4081.27,4081.27,3975.48,3991.24
2022-05-10,4035.18,4068.82,3958.17,4001.05
2022-05-11,3990.08,4048.62,3928.82,3935.18
2022-05-12,3903.95,3963.09,3858.87,3930.08
